,Content_Clean,cluster,action_cluster
13,긴장감을 느낄 상황이 있었나 바짝 긴장을 하고 있다가 그 긴장감이 확 풀어지면 엄청난 피로감을 느끼거나 우울감을 느낄 수 있어요 우울할 때 하면 좋은 것 따듯한 물로 샤워하기 조금 일찍 잠자리에 들기 좋아하는 향 맡기 의지할 수 있거나 믿는 사람과 대화하기 달달한 음식 먹기,0,3
14,채우려고 하면 넘친다는 것을 잘 알면서도 마음을 비우지 못해 오늘도 밤을 하얗게 지새운다 모든 것은 움직인다 좋은글 좋은시 좋은글귀 좋은글모음 좋은시모음 추천좋은글 추천좋은시 행복글 희망,0,2
15,맞고 우울할 때 페이지 정보 카테고리 선택 글쓰기 다들 그런날 다 하기 싫고 현타맞는 날 그리고 갑자기 많은것이 버겁게 느껴지는 날 저에겐 오늘이 약간 그런날이네요,0,3
16,하면 좋은 행동 가지 를 해보시면 기분이 좋아지시는 것을 느끼실 수 있을 겁니다 그럼 우울할 때 하면 좋은 행동 가지를 소개합니다 상상해 보세요 내가 꾸미기 친구와 대화 가까운 친구나 가족과 소통하고 감정을 나누는 것이 도움이 될 수 있습니다 친구와 대화 취미 활동 관심 있는 활동을 하면서,0,2
17,것이 도 라 하면 빨리 알고 행한 것이 지혜롭다 하겠더라 좋은글 좋은시 좋은글귀 좋은글모음 좋은시 추천좋은시 행복글 희망글 이세상좋은글 슬플때 읽는글 우울할때 읽는글 힐링글 좋은글좋은시,0,2
18,불현듯 우울할 때 우리는 어떤 생각을 해야 할까 한순간 내가 가진 것이 없고 아무런 동력도 앞으로 더 나아갈 수 있다는 희망조차 보이지 않을 때 남들이 인식하는 객관적인 상황과는 별개로 그런 우울한 감정이 찾아오기도 한다 이럴 때 우리는 어떻게 대처하면 좋을까 미약하지만 내 힘으로,0,2
19,앓고 거의 완치한 사람으로서 제일 중요한게 저 유튜버분처럼 뭐든 하는거라고 생각함 우울하다가도 약간 덜 우울할 때 있잖아 지 인짜 작은 일부터 하나씩 하는 거야 다시 또 우울해지면 우울해 하면 되고,0,1
20,좋은 인사이트다 인간은 누구나 우울함을 느낄 수 있음 심지어 큰 이유 없이 우울함을 느낄 때도 있지 그런데 그런 기분을 느낄 때 우울해서 축 늘어져 있으면 더 깊은 우울로 빠질 수 있다는 것 그래서 그런 기분을 들 때는 오히려 더 꼼꼼하게 목욕을 하고 주변 정리를 하고 본인이 좋아하지만 평소에는,0,2
21,해서 좋은 이야기를 만들어낸다고 생각하는데 다만 그 수가 여전히 너무 적다고 생각해요 재현 자체는 많이 나아졌어요 다 우울하고 죽고 이런 얘기 아니고 그래도 여러 가지 이야기를 하려고 하는 퀴어,0,1
22,함께 탐험할 수도 있고 혼자 들어갔을 때와 여럿이 들어갔을 때 경험이 다르기 때문에 이런 경험의 차이를 들인 만큼 많이 즐겨봐 주시고 어떻게 하면 더 좋은 방향으로 개발해 나갈 수 있을 지 많은 피드백,0,1
23,내뱉는 거 행복했던 기억 떠올리는 거 행복했던 때의 사진을 보거나 그때 쓴 일기 같은 거 보는 것도 도움 해야지 이렇게 떠밀리듯 하기보다 능동적으로 결정내려서 하면 더 효과 좋은 것도 신기 묺,0,3
24,검색 허용 해제 필수 머든 좋아 책도 좋고 드라마 웹툰 시리즈물이면 더 좋음 인생작있으면 추천해주라 날도 좋은데 좋은 하루 보내구,0,2
25,푸쉬업을 하면 빠르게 효과를 볼 수 있다고 합니다 유연성을 기를 수 있어요 정말 의외지만 팔굽혀펴기는 큰 도움이 됩니다 몸통을 바닥으로 내릴 때 등 근육이 아주 효과적으로 늘어나고요 다시 몸통을,0,3
26,우울할땐 무조건 술이죵 마포지기 답글쓰기 저도 나가서 돌아다니는것보단 이불안에 있는게 좋은 것 같아요 기분 우울할때 어떻게 회복하세요 에 대한 의견을 남기시려면 로그인 하세요,0,1
27,소개할 것은 지금부터 늦가을까지 쭉 활용하기 좋은 롤업 데님과 각종 샌들 조합입니다 그레이 데님 브라운 샌들 당장 내일이라도 소화할 수 있는 룩부터 살펴볼까요 그 자체로 포인트가 될 수,0,4
28,어떻게 하면 좋을까요 개의 안약을 넣을 때에는 분 간격으로 넣으면 된다고 알고 있는데요 안약을 넣고 다음 눈물약을 넣는 경우는 서로 의견이 다르더라구요 약국은 안약을 넣고 분뒤에 눈물약을 넣으면,0,2
29,일석이조인듯 잡생각 안나고 우울감도 떨치고 잡생각도 사라지고 거기다가 살도 빠지고 우울하다고 가만히 있는 것보단 나은듯싶음 출처 해외 네티즌 반응 가생이닷컴,0,3
30,헹굴 때 따뜻한 물을 사용하고 마른 수건으로 물기를 바로 닦아내는 것입니다 이렇게 하면 습한 환경에서 천천히 마르지 않고 바로 건조되기 때문에 물 비린내가 나는 것을 미리 방지할 수 있습니다 또 다른,0,2
31,원하는 그런 사람이라 인맥들로 먼가 할것 같네요 코로나때 조력 사무소 컨텐츠가 정말 재미있었어요 전 우울할때마다 이분의 를 듣습니다 전 요들송 스트리머인줄 알았네요 매력,0,1
32,필요한 단백질 보충제 아보카도 아보카도에는 뇌가 필요로 하는 건강에 좋은 지방이 들어있다 아보카도 열량의 분의 은 단일불포화지방에서 나오는데 낮은데도 식이섬유는 풍부해 다이어트에도 좋다 우울할 땐 육류 피해야 포화지방산이 우울감 촉진 우울할 때 기피해야 할 음식과 습관들은 뭐가 있을까,0,2
33,많은 불편이 생기니 많은 방법을 통해 우울한 기분에서 벗어나는 것이 어떨까 합니다 우울할 때 하면 좋은 행동들 산책하기 매일 한 시간 이상 산책을 하게 반신욕이나 사우나 하기 한 연구에 따르면 우울증 환자의 심부 체온을 도 올렸더니 항우울제를 먹은 것과 동일한 효과가 나타났다는 연구 결과가,0,2
34,원하는지 미리 알아두고 자연스럽게 사용하도록 연습해두세요 부모님께 직접 여쭤보는 것도 좋은 방법이며 이렇게 하면 더 친근한 인상을 줄 수 있습니다 적당한 대화 주제 준비 벌써부터 머릿속이 하얘진다,0,3
35,만 하면 떠 오르는 한사람 마치 끊어지지 않는 밧줄 처럼 영원히 사랑 해야될 한사람 인데 떠나버린 그 사람을 보고싶어 하는 내가 여기 우뚝 서 있습니다 살아가노라면 너무나 가슴이 아파 두 눈이 멀어지는,0,3
36,먹으려고 하면 맛이 없을까봐 엄두가 안나죠 그럴 때 상추만 준비해보세요 무심하게 양념 몇가지만 툭 더하면 입맛 돋우는 상추겉절이 완성이에요 상추겉절이는 진짜 진짜 너무 쉬워서 절대 실패할 수가 없는,0,3
37,이럴 때 참고할 수 있는 빠른 쿼리를 쓰기 위한 가지 모범 사례가 있다 필요한 열만 불러오기 조건부 열 업데이트에는 대신 사용 큰 테이블 쿼리는 최소한으로 유지 데이터 사전 준비,0,4
38,안녕하세요 멜론 스테이션 청취자 여러분 화 매거진 시작합니다,0,2
39,사람도 있고 우울감이 오래 되어 누군가의 도움이 필요한 사람도 있습니다 오늘은 마음에 우울감이 들때 하면 좋은 행동 가지를 소개합니다 마음이 우울할 때 자기 돌봄과 긍정적인 에너지를 찾아내는 것이 중요합니다 아래는 마음을 편안하게 만들 수 있는 가지 활동 제안입니다 독서 좋아하는 책을 읽거나,0,1
40,것이라도 괜찮다 평소에 잘 안 사 먹었던 비싼 군것질해 보기 이미 봤지만 너무 마음에 와닿았던 드라마나 영화 보기 너무 예쁜 우리 조카 사진 보기 낮에 가족 친구에게 도움받기 우울과 무기력함이 나를 덮쳤을 때 나에게 제일 힘든 건 이거다 우울 상태에서는 제일 사랑하는 남편조차 의지하기가,0,2
41,해결하려고 하면 고립감이 더 커질 수 있습니다 친구나 가족 상담사와 대화를 나누는 것이 도움이 될 수 있습니다 그들에게 감정을 공유하고 도움을 요청 더 나은 해결책을 찾을 수 있습니다 과도한 음주나 약물 사용 피하기 우울할 때 술이나 약물을 통해 기분을 달래려는 사람도 많습니다 하지만 이는 단기,0,1
42,도움을 받는 것도 좋은 방법입니다 자신의 행동을 관찰하세요 이렇게 우울할때 집에서 하면 좋은 것들이 많이 있습니다 우울할 때는 무기력해지고 의욕이 지나면 자연스럽게 사라지는 경우도 있습니다 하지만 우울감이 오래 지속되거나 일상생활에 지장을 줄 정도라면 전문가의 도움을 받는 것이 좋습니다,0,1
43,다이어리 캘린더 돌아보기 사진첩과 에 올린 사진 돌아보기 연초에 계획했던 목표들 달성했는지 확인하기 년에 내가 잘했던 것들 기록하기 년에 내가 부족했던 것들 기록하기 한 해 모든 고민거리를 적고 해결했는지 생각하기 매달 지출 계산해보고 저축한 금액 파악하기 년을,0,4
44,김영국 우울할때 도움이 되는 좋은글귀 나에대한 보상이 부족해서 마음이 슬퍼하고 있다 나에게 진심어린 보상을 해주는 것이다 무작정 돈을 펑펑 쓰고 해외여행을 다녀오는게 최선이 아니다 어떤 대 가장은 백화점에서 수백만원어치의 옷을 사면 기분 전환이 될지 알았는데 오히려 마음이 더 공허해지고,0,1
45,우울할때 먹으면 좋은 신기한 음식 우울할때 먹으면 좋은 신기한 음식 겨울이라는것이 날씨가 춥고 해가 짧아지면서 기분이 자주 울적해지는 분들이 있을수 있습니다 실제 일조량이 부족하게되면 기분을 좋게 만드는 호르몬인 세로토닌 분비가 감소하게되어 이런증상을 느낄수 있다고 합니다 오늘은 그럼 우울증을,0,2
46,참여하는 것은 우울한 감정을 완화하는 데 도움이 될 수 있습니다 우울할 때 하면 좋은 우울 완화 방법과 우울할 때 음악의 효능 독서의 효능 독서 팁에 대해 여러분 내면의 감정을 글로 표현할 수 있고 여러분 자신에게 필요한 어떤 것들을 제공해 줄 수 있습니다 여러분의 생각과 감정을 일기로 써보세요 일기,0,2
47,트립토판 농도가 높아지고 세로토닌의 합성이 증가하며 엔도르핀이 분비되됩니다 심리적인 안정감을 주면서 불안 우줄 증세도 완화하는 것입니다 기분이 우울할 때 하면 좋은 운동에 대해 추가로 몇 가지 알려드릴게요 우울할 땐 요가 기분이 우울할 때는 요과가 특효입니다 연구에 따르면 근심 걱정이,0,2
48,힘들고 우울할 땐 손가락을 봐 그리고 한 손가락 한 손가락 움직여 그럼 참 신비롭게 느껴진다 아무것도 못 할 것 같아도 손가락은 움직일 수 있어 주인공을 바른길로 인도하고 성장시킨다 나는 어릴 때 내 주변에 좋은 어른들이 얼마나 있었을까 좋은 어른이 있었다면 지금의 나는 조금은 다른 모습으로,0,2
49,우정 도둑 유지혜 작가님은 고등학생 때 핀터레스트에서 처음 알게 됐다 우울할 때 하면 좋은 가지였나 유독 분위기가 좋은 글이라 그대로 아이디를 검색해 면만을 보고 있는지 유독 오래 생각하게 되던 책 내게 이미 있는 것을 아끼고 길러내는 걸로는 삶이 잘 안 됐다 다른 문장보다 이 문장이 너무너무,0,3
50,드세요 하면 달려가서 먹고 일하고 있는데 먹을 거 놔 주시고 지금 점점 돼지 되어가는 중 밥 걱정 많이 했는데 미국에서 몸짱돼서 와야지 했거든요 다른 의미로 몸짱돼서 돌아갈 듯 음식 왜 이것밖에 안 찍었지 이것보다 훨씬 많이 먹었어요 바나나킥 망고젤리 에이드 석류 멜론 수박,0,2
51,쉽게 노출될 수 있는 현대인의 고질적인 병인데 이 우울증을 가볍게 여겼다가는 증세가 악화되었을 때 더 어려움이 생길 수 있기 때문에 초기에 바로 잡는 것이 따라 각자 다른 방법을 적용해야겠죠 그리고 특히나 정말 좋은 완화법은 운동하는 것 인데요 우울증의 진행도가 심하면 심할수록 운동 권고도 강력해,0,4
52,있는가 하면 한편 몽롱하고 몸이 으슬으슬한 채 깨는 아침도 있습니다 몸 상태가 항상 개운하고 좋은 것은 아닌 것 처럼 마음도 항상 건강하고 행복하기만 하지는 않지요 가끔 찾아오는 몸살감기처럼 우울함도 그런 시점으로 들여다보면 좋겠습니다 몸살에 걸렸다고 왜 이렇게 건강관리를 못 했어 하며 자책하는,0,1
53,했던 꿈이라는 것에 꼼지락 거리는 수준이더라도 다가가는 노력을 한 것이 좋은 영향을 끼쳤다고 생각한다 플래너를 작성하면서 그날그날 내가 무엇을 했는지 페스트랑 같이 셰익스피어 희극편을 읽고 있다 대 비극보다 재미있는 것 같다 공연할 때 이걸 어떻게 외워서 대사를 쳤을까 의문이 든다 누가 한 번 말,0,3
54,더 좋은 일이 있으려고 이러는 거야 하면서도 지난밤 열병처럼 앓았다는 것이 안타까우면서도 받아들일 수밖에 없다 초아야 쉿 지금 여기 집중 생각은 내가 아니야 생각은 일어난 것일뿐 실체 없는 거 알잖아 금방 지나갈 거 알잖아 늘 겪으면서 이 한 생각으로 오늘 소중한 나의 하루를 보내서는 안되겠지,0,3
55,하면 좋은 다라니 녹화를 이다음에 합니다 그때 태교이야기를 한다고 했는데 여러분 오늘 하는 줄 알았을 거예요 시간이 다 되었으니까 조금만 말씀드릴게요 몇 사람이 태교를 해야 아들딸을 잘 낳는 것이다 하는 말을 듣고 우리 신도 분들 중에 순산도 한 사람들이 있습니다 오늘 왔는지 안 왔는지,0,3
56,충분한 수면 등 다양한 방법을 통해 관리하는 것이 중요합니다 우울할때 하면 좋은거 우울할때 하면 좋은 것들은 개인에 따라 다를 수 있지만 아래에 몇 가지 활동과 습관을 알아보겠습니다 운동 운동은 신체적으로 건강을 증진시키는 것뿐만 아니라 뇌 활동을 활성화시키고 스트레스를 줄여주는 효과가,0,1
57,가기로 결심했다 가 더 효과적이다 쪽 어떻게 하면 더 좋은 삶이 될지 생각해보라 나쁜 습관을 없애면 당신의 삶이 어떻게 개선될까 쪽 누구나 본인 물리적으로 같은 공간에 있는 것만으로도 도움이 된다 쪽 일단 방문을 열고 나가는 것 우울할 땐 침대밖으로 나가기가 싫어진다 남에게 연락하지,0,2
58,운동 하면 도움 유산소 운동과 근력 운동을 병행하는 게 우울증 개선에 가장 좋다 사진 클립아트코리아 운동이 정신건강에 좋다는 연구는 매우 많다 우울할 때 어떤 운동을 하는 게 가장 도움이 될까 유산소 근력 운동 병행이 효과 제일 좋아 유산소 운동과 근력 운동을 병행하는 게 가장 좋다 영국 유니버시티,0,2
59,일을 미루지 않는 것이에요 그것을 미루다보면 계속 내 발목을 잡고 있으니까요 나의 잠재의식 속에 그것이 자꾸 남아 나도 모르게 힘들게 하고 있어요 그럼 다음에 또 만나요 이웃추가 하트와 댓글은 힘이 됩니다 대구인쌩맥주 대구술집 대구동성로술집 대구술집추천 우울할때 우울할,0,1
60,특정한 날 시간을 내서 자신이 끝없는 전생으로부터 쌓아온 모든 업력 업장 카르마를 모조리 다 빨아들여 없애는 기회를 갖는 것도 아주 좋습니다 마음이 칙칙하고 기분이 우울할 때 하면 좋은 명상법 사진 공 을 돈오 견성하신 분들은 온 우주가 다 그 모든 것들이 다 공하여 일체개,0,1
61,고혈압이나 심장병 환자는 갑자기 차가운 곳에서 운동을 하면 뇌졸중에 걸릴 가능성이 높다는 점을 유의해야 한다 또 기온이 영하로 떨어져 얼음이 얼거나 눈이 좋다 운동복은 땀을 잘 흡수하는 면 소재 옷이 좋다 비나 눈이 올 때는 방수가 잘 되며 방풍에도 좋은 나일론이나 고어텍스 제품이 알맞다 많이 추울,0,3
62,있는가 하면 한편 몽롱하고 몸이 으슬으슬한 채 깨는 아침도 있 습니다 몸 상태가 항상 개운하고 좋은 것은 아닌 것 처럼 마음도 항상 건강하고 행복하기 만 하지는 않지요 가끔 찾아오는 몸살감기처럼 우울함도 그런 시점으로 들여다보면 좋겠 습니다 몸살에 걸렸다고 왜 이렇게 건강관리를 못 했어 하며 자책,0,1
63,차례 토마토를 먹는사람은 한번도 토타토를 먹지 않은 사람보다 우울증 위험이 프오 감소한 것으로 나타났는데요 이는 토마토의 풍부한 엽산과 비타민 가 여덟번째 굴 굴에는 풍부하게 함유되어있는 아연 이 아연이 우울증 치매예방에 아주 좋은 효능이 있다고 합니다 아홉번째 해조류 다시마 미역등의 해조류,0,3
64,정도였냐 하면 벽걸이 에어콘 필터 뒤를 고양이 털이 가득 뒤덮고 있었다고 해야 하니 말 다 한 셈이죠 에어콘 부품 구석구석에 고양이 털이 이정도로 가득 라고 연발하십니다 그러면서 자기 사정을 조곤조곤 설명해 주시시 시작하시더군요 청소는 이렇게 요모조모를 깨끗하게 하는 것 뿐만 아니라 사람의,0,2
65,앉는 우울할 때는 역시 맛있는 것을 먹기 그래서 바로 치킨을 시켜먹었다 저번에는 스파이에어 콘서트가 모두 스탠딩이라는 사실에 좌절 내 자리가 없다는 사실에 좌절 해서 치킨을 시켜먹었는데 이번에는 그 슬픔보다 더 크고 짙고 뭐랄까 은은한 우울감이 찾아와서 치킨으로는 해결을 못했다 초밥도 먹고,0,4
66,안 하면 힘듦 이것이 삶 아침 점심 짜계치에 밥이 추가된 이유 언니가 미리 만들어둔 저녁 볶음밥을 갑자기 저에게 주었습니다 나를 돼지로 만들 계획인게 분명함 그만살쪄 야됨 잼민이 초중딩때 입던 옷을 그냥 아직 입고있어요 편하고 얇고 몸에 맞는데 버리기엔 아깝잖아요,0,2
67,있다 우울할 땐 뇌 과학 저자 앨릭스 코브 출판 심심 발매 책의 구조는 단순하고 명료하다 어쩔 수 없이 진부한 감도 있다 우울감이라는 것이 생각 이상으로 생화학적인 작용의 결과이며 우리를 더 무기력하게 만든다는 것이 책의 시작이다 예를 들어 시험을 잘 못 볼것 같은 두려움 때문에 공부에,0,4
68,가끔 이유없이 우울할 때가 있는 것 같아요 의지와 상관없이 과거의 부정적인 사건들이 떠오르기도 하구요 오늘은 삶이 우울하고 슬프게 느껴질 때 하면 좋은 운동을 소개해보려 합니다 분 명상 분 걷기 운동 명상과 유산소 운동을 결합했을 때 우울 증상과 의지와 상관없이 부정적인 사건을 떠올리는 증상을,0,2
69,체중이 늘어나고 몸이 붓기도 한다 커피가 적당히만 마시면 몸에 아주 좋은 보약인데 요즘은 커피를 너무 많이 마셔서 부작용이나 질병으로 가는 경우를 자주 체온을 위지 하면 상처는 치료를 안 해도 빨리 잘 낫는다 모발도 체온이 높던지 낮을 때 빠지는 것이라 체온을 중간 체온을 위지 하면 탈모도 예방이 가능,0,2
70,우울증이라 하면 늘 슬픈 것이라 생각하기 쉽지만 우울증은 기분을 마냥 슬프게 하는 병이라기보다는 삶의 에너지를 떨어뜨리는 병입니다 피로 무기력 불면 식욕 저하 혹은 증가 불안 분노 짜증 초조 집중력 저하 망상 피해의식 등 다양한 증상이 동반될 수 있습니다 일반적으로 우울증은 의지가 약하거나,0,4
71,하는 신경전달물질인 세로토닌과 노르에피네프린 분비를 촉진하면서 우울증을 개선하는 것으로 추정했다 연구팀은 유산소 운동이나 저강도 운동은 우울증 개선 오늘은 우울할때 하면 좋은 운동에 대해 알아보았습니다 안전지대 휘트니스에서 방배동,0,4
72,많다 우울할 때 어떤 운동을 하는 게 가장 도움이 될까 유산소 근력 운동 병행이 효과 제일 좋아 유산소 운동과 근력 운동을 병행하는 게 가장 좋다 영국 유니버시티 칼리지 런던 정신과 연구팀은 만 명을 대상으로 어떤 기능을 단련했을 때 정신건강이 좋은지 분석했다 연구팀은 먼저 실험대상자에게 실내,0,2
73,중 우울할 때 먹기 좋은 것이 티라미수 이다 티라미수 위로 끌어올리다 티라레 끌어당기다 잡아끌다 수 위에 위로 방향을 가리키는 전치사 티라미수의 이름은 이 케이크를 먹으면 울적했던 기분이 사라지고 기분이 좋아진다는 뜻을 내포하고 있다 시험을 못 보고 어두워졌던 학생들에게,0,3
74,생각하면 좋겠습니다 개운하게 눈을 뜨는 아침이 있는가 하면 한편 몽롱하고 몸이 으슬으슬한 채 깨는 아침도 있습니다 몸 상태가 항상 개운하고 좋은 것은 아닌 것 처럼 마음도 항상 건강하고 행복하기만 하지는 않지요 가끔 찾아오는 몸살감기처럼 우울함도 그런 시점으로 들여다보면 좋겠습니다 몸살에,0,1
75,나와라 이 책은 크게 부와 부로 구성되어 있다 부에선 우울증의 하강나선 에 대해 설명한다 우울증의 증상과 우울증에 관여하는 뇌 부위 등 우울증에 대한 정보를 알려준다 부에서는 반대로 상승나선 에 대해 설명한다 우울증에서 벗어나기 위해 어떤 것들이 과학적으로 도움이 되는지에 대해 알려준다 증,0,4
76,책 우울할 때 읽으면 좋은 책 꼭 읽어봐야할 책 인생에 도움되는 책 관계의 관한 책 쇼펜하우어 인생수업 저자 쇼펜하우어 출판 하이스트 발매 쇼펜하우어 인생수업 쇼펜하우어 김지민 엮음 년 월 일 완독 시작의 말 책을 읽게 된 계기 나는 읽은 책에서 작가가 추천하는 책이나,0,2
77,기분이 우울할 때 더욱 증폭된다 질 낮은 수면은 통증을 심화시키고 기분을 우울하게 만든다 우울한 기분은 통증을 한층 심화시키고 그 둘은 다시 수면에 영향 못할 때 통증이 가장 크게 증가한다는 사실이다 요컨대 가장 중요한 것은 수면의 총량이 아니라 지속적인 수면의 총량이라는 말이다 그러니 중간에 방해,0,1
78,느낀 것을 죽을 때까지 가슴 깊이 간직하고 부모를 원망하고 결국 스스로를 불행한 삶으로 만들어 가기도 한다 그래서 범사에 감사하라 했다 행복해 지혜로운 사람은 배우는 사람이고 세상에서 가장 행복한 사람은 감사하는 사람이다 탈무드 덕담 을 많이 운명이,0,2
79,때문에 조심해야 합니다 집에만 있기 이모티콘처럼 하면 더 우울해지더라고요 위에 있는 개만 안 해도 우울감에 쉽게 벗어 날 수 있어요 우울할 때 하는 것 단거 먹기 집에 나가기 청소하기 꽃이나 이쁘고 사랑스러운 것들 보기 자기개발하기 저는 모든 사람이 사랑받을 가치 있다고,0,1
80,안 하면 개딱딱한 돌빵 같은 보호대 끼고 생활하고 물치도 열심히 받았더니 처음에만 해도 경과보고 안 나으면 수술해야한다던 의사쌤이 오늘 오는 횟수를 일에 한 번으로 줄여줬어요 나 너무 기뻐 시험 기간에 핸드폰 흑백모드 유튜브 삭제하고 세상을 잃었어 첫째날 시험 끝나고 시험을 말아먹고 큰 슬픔에 빠져,0,4
81,보고서만 하면 종강이라 막판 스퍼트를 내고 있습니다 그래도 월 월보다는 아주 조금 여유가 생겨 오랜만에 블로그에 일상이나 적어볼까 합니다 현대는 진짜 눈물 머금고 했던 제작이었기 때문에 프로필이라도 잘 나와준 것에 너무너무 감사했습니다 전체 무용 제작반 극장회의 목요일,0,3
82,집에서는 퉁명스럽게 말하거나 함부로 말하는 것이 통했었는지 모르지만 이것을 그대로 사회에서 하면 문제가 생깁니다 새로운 사람이 가족이 되었을 때 큰 자산이자 능력입니다 말을 예쁘게 할수록 인간관계가 좋아지고 좋은 사람이 모입니다 좋은 일이 더 생기고 행복이 증진됩니다 그런데 말을 예쁘게 하면,0,4
83,주위에 사람이 없어야 하기 때문에 노래방 같은 곳에 가는 것을 추천합니다 목소리를 내는 것은 스트레스의 발산으로 이어지기 때문에 침울한 기분도 상쾌하게 새로운 시각을 갖게 될 수도 있습니다 말을 함으로써 조금이라도 마음의 무게가 가벼워져요 우울할 때 해서는 안 되는 행동 자신을 지나치게 자책,0,1
84,심들의 생활을 통해서 어릴적의 소꿉놀이를 할때와 비슷한 느낌을 얻어볼 수 있다고 생각됩니다 좀 더 생생한 소꿉놀이죠 다만 심즈들은 이렇게 행복하게 게임을 플레이하는것도 있습니다 그렇게 챌린지를 하나하나 깨는것도 좋은것 같네요 그리고 저는 최근에 심즈로 시간관리 를 어떻게 하면 좋을까 하는,0,2
85,눈 찜질 후 가볍게 눈 운동을 해주면 일석이조의 효과를 볼 수 있는데요 한 자세로 오래 앉아있으면 엉덩이 근육이 뭉치는 것처럼 모니터만 장시간 보게 되면 눈 근육도 뭉친답니다 그래서 눈근육을 풀어줄 수 있는 몇가지 간단한 운동법을 준비했습니다 기본 스트레칭 눈을 감고 눈동자를 상하좌우로,0,4
86,그 상대가 어떤 사람인지가 중요합니다 우울한 마음을 이해해주고 나를 편안하게 해주는 존재가 있다면 함께하시는 것이 더 좋을 것입니다 우울할 때 해보면 좋은 것들 내가 우울할 때 어떻게 이겨냈는지 생각해봅니다 자연이 있는 곳에서 많이 걷는다 밖에 나갈 의지가 있을 때면 혼자 산에 많이 갔어요,0,1
