ㄹ,0
123,사회적으로 성공도 하고 인정도 받았는데 잠에 문제가 있고 밥한숟갈 못넘기는 처지가 되면참으로 안됬네요 스트레스 없이 사는 사람은 없지요 지금 나타나는 증상은 우울감 인데 그럴수 밖에 없잖아요 저라도 모든일에 신경질이 나겠네요 그만큼 마음이 약해졌다는 증거입니다 우울감이 2주이상 이어지면 우울증자가테스트 한번 해보시고 않좋으면 가까운 신경정신과에 가서 상담해 보세요모든 의학적으로 해결 되지 못하는 문제는 정신건강의학과에서 다루고 있습니다
126,"습관성 자해라고 합니다꼭 외상적상처가 나거나 피가 흘러야지만 자해가 아닙니다 벽에 머리를 박거나, 일부로 잔인하고 공포스러운 영상을 찾아보거나, 숨을 참고 목을 조르고, 과도하게 매운 음식을 먹는 등 스트레스로 인해 자기자신을 학대하는 행위 모두 자해라고 할수 있습니다 "
129,만성 우울증은 정말해결방법없음 정신과약 먹으면 좀 괜찮아지더라구요..안녕하세요.요즘 느껴지는 우울감으로 어려움을 겪고 있다고 하셨네요.머리도 아프고 잠도 잘 오지 않는다고 하셨네요.스트레스로 인해 감정적으로 어려움을 겪으시는 것이 아닐까하는생각이 드네요. 또한 지금 시기가 감정적으로 예민하게 느끼실 수있는 시기라는 생각이 드네요. 언제부터 말씀하신 어려움들이나타났는 지 살펴 볼 필요가 있을 것 같네요. 그 시점에서 나에게영향을 주었던 변화나 일들이 있었는지 살펴본다면 도움이 되실거라생각이 드네요.우울감이 느껴지거나 감정적인 변화가 있을 때 어떤 생각들이떠오르는 지 살펴 볼 필요가 있을 것 같네요. 어떤 생각들이나의 감정과 연결되어 영향을 주고 있는 지 살펴본다면 지금나의 모습을 이해하는데 도움이 되실거라 생각이 드네요.스트레스를 낮추고 기분전환을 위한 활동들을 해보시는 것은어떨까요. 운동과 같이 몸을 움직이는 활동을 규칙적으로 한다면도움이 되실거라 생각이 드네요. 야외활동을 하기 좋은 계절인 만큼밖에서 할 수 있는 활동들을 해보신다면 도움이 되실거라 생각이드네요. 몸을 움직임으로써 활력을 얻을 수도 있고 기분전환에도도움이 되실거라 생각이 드네요.하고 싶었던 것이나 배우고 싶었던 것들을 해보시는 것은 어떨까요.무엇인가를 새롭게 시작해보는 것만으로도 기분전환에 도움이 되실거라생각이 드네요.지금의 어려움에 대해 주변 사람들과 이야기 나눠보는 것은어떨까요.자신의 생각이나 어려움에 대해 이해나 공감을 받을 수도 있고나와는 다른 시각에서 조언을 구할 수 있을거라 생각이 드네요.빠른 시일 내에 편안한 마음 갖으시길 응원하겠습니다.심리상담연구소 마음 안.
131,"구안와사? 한의원에서 침 맞아보세요.에고..스트레스를 엄청 받으시나 봅니다.한의원 침을 맞아 보시고,아래 설명과 같이..평소 스트레스(뇌피로) 해소법을 실천해보세요.(구안와사가 뇌졸증으로도 발전할 수 있으니 꼭 실천하셔서 건강한 삶을 누리세요.)1.HMT(Head Movement Technique)   머리를 도리도리 해주는 운동입니다.   뇌척수액이 흔들리며 뇌피로를 해소시키는 방법인데   스트레스 해소에 효과가 아주 좋습니다   한가지 더, 소리를 입으로 ""아 에 이 오 우"" 내면서   아/10번, 에/10번, 이/10번,오/10번, 우/10번을 총50번을 해주세요. 기분이 평안해 지십니다.  (HMT는 실제 검증이 된 방법입니다)2.EMT(Eye Movement Technique) 안구운동기법인데요. 힐링교실(마음치유)에서도 사용되는 기법입니다. 스트레스 해소와 우울감을 떨치는데 획기적인 방법입  니다. 눈을 감고 눈을 좌우로 움직여 주는 운동입니다.(자세한 것은 네이버에 ""emt기법"" 검색 해주세요)   힐링e대학 마음치유연구소 제공.안녕하십니까?지식iN 사룰입니다☜제가 얼마전에 스트레스를 엄청 받았더니 갑자기 다음날에 얼굴 반에 감각이 없어서 병원에갔더니 스트레스때매 생겼다 하고 뭐라 햤는대병명이 뭔지를 까먹었는데 알러주실수있나오안면 신경마비이마에 주름을 잡을 수 없고, 눈이 감기지 않으며, 마비된 쪽의 입이 늘어지고, 물을 마시거나 음식을 먹을 때 마비된 쪽으로 새어 나오는 등 얼굴 신경이 마비되는 것. [정의] 안면(얼굴) 신경마비의 증상은 수 시간 또는 수 일 내에 나타나며, 완전마비 또는 부분마비로 나타난다. 대개 한 쪽에만 증상이 나타나는 편측성이고, 얼굴의 이상감각이나 얼굴의 비뚤어짐으로 나타나는 경우가 많다. [원인] 안면신경마비 중 가장 많은 형태인 특발성 안면신경마비의 발생원인에 대한 가설로는 바이러스 감염, 허혈성 혈관질환에 의한 마비, 당뇨에 의한 ...terms.naver.com입이 반이 안움직이고 눈도 한쪽만 감기고맛이 잘 안느껴져요 한의원서 침 맞다가 날 샙니다.종합병원 신경과, 이비인후과로 속히 가보십시오.안녕히 계십시오☜ 출처 : 코로나19는 내가 잡는다. 혈세 낭비하지 마라.무턱대고 병원들 가들 마라. : 분안의학(分案醫學, Separate guidance medicine).  "
137,"운동을 하거나 산책을 하거나 독서를 하거나 서예를 하시거나 요가를 하세요.술은 잠시의 감정만을 없애줄 뿐이에요. 근본적으로는 상황을 더 심화시키고 악화시키죠. 결국에는 술 때문에 스트레스를 더 받기 마련이랍니다. 보통은 스트레스를 자신이 좋아하면서 다른 사람에게 피해가 가지 않는 취미로 많이 풉니다. 자신만의 취미가 없다면 많은 것을 시도해보고 자신이 하면서 진정으로 행복해 지는 것을 찾아 취미로 만들어 스트레스를 풀 자신만의 무기로 만드는 걸 추천해드립니다. 물론 욕망과 욕구에만 충실한 취미가 아니라 조금이라도 성취감이라던지 자신의 발전을 느낄 수 있는 취미를 만드는 것이 좋을 것 같네요!현대인의 삶에서 스트레스는 피할 수 없는 현실이죠. 적당한 스트레스는 일을 하거나 움직이는 데에 있어 원동력이 되기도 하지만, 과도한 스트레스의 경우 몸 건강과 정신 건강에 해를 끼치기 때문에 각자에게 맞는 올바른 스트레스 해소법이 중요합니다.일반적으로 스트레스 해소법에 도움이 될 만한 것들에는 다양한 것이 있지만, 질문자님께서 건강이 염려된다는 말씀을 하셨기 때문에 먼저 과도한 설탕, 나트륨 섭취를 줄여보시거나 매일 꾸준한 운동을 해보시는 걸 추천드려요. 디저트, 설탕 같이 달거나 라면같이 맵고 짠 음식들은 순간적으로 기분이 좋아지는 것 처럼 느낄 수는 있지만, 결국 우리 몸의 호르몬에 영향을 주어 우울감이나 피로감등이 나타나게 합니다.이와 같은 영향을 막으려면 충분한 수분 섭취, 운동을 통해 몸의 순환을 잘 시켜주는 것이 좋은데요. 운동이라 하면 꼭 무리한 운동이 아닌 가벼운 스트레칭이나 걷기 운동만 해줘도 혈액 순환이 촉진되면서 엔도르핀과 도파민이 분비되고 상쾌한 느낌, 기분이 좀 더 나아지는 느낌을 받을 수 있습니다.또한 질문자님의 성향에 따라, 친구들 혹은 주변 사람들과 만나 좋은 시간을 보내는 것 만으로도 스트레스 해소에 도움이 될 수 있고 혼자만의 시간을 충분히 가지며 자기계발에 관심과 흥미를 가져보시는 것도 좋을 것 같습니다. 재미있는 책을 읽거나, 웃긴 영화, 또는 자신의 취향에 맞는 영화를 보셔도 좋습니다!최근 코로나로 인해 야외활동에 제약이 생기고 기존에 세워놓았던 계획 혹은 준비하고 있던 일들이 불안정해지면서 많은 분들이 더 스트레스에 민감한 상태일 것이라 생각이 되는데요. 질문자님도 힘내시고,앞으로는 건강을 위해 술보다는 더 건강한 방법으로 자신을 스트레스로 부터 지키시길 바라겠습니다!:)스트레스 해소법으로 명상을 추천드려요.저도 스트레스를 많이 받았었는데 대학생 명상캠프에서 명상을 시작하고 고민이 해결되었어요.명상 방법대로 마음을 비우니까 스트레스, 걱정, 불안, 잡생각이 없어졌거든요.스트레스가 없어지니까 마음이 편안해지고 여유가 생기더라고요.그래서 지금도 하루에 한시간정도 명상을 하면서 스트레스 해소를 하고 있어요.질문자님도 명상으로 스트레스의 근본적인 원인을 없애면스트레스를 덜 받게 되고 스트레스 해소도 쉽게 할 수 있어요.방학 기간에 대학생 명상캠프에 한 번 가보시면 좋을 것 같네요~"
138,"제가요... 학생인데요.. 너무 힘든데.. 밥도 잘 안 들어가고 생활하는데 의욕도 없고 갑자기 막 눈물 나는데 이거 우울증인가... 생각도 해보고... 뭐 상담이나 이런거 받고 싶기도 한데... 저희 지역이 촌동네라서.. ㅜ머 뭘 어떻게 해야할지 모르겠어요.. 도와주세요...청소년도 우울증이 생깁니다.소아우울증은 성인기에서의 재발률이 매우 높고,발달과정 중의 일시적 현상이 아닌 만성적인 질환으로 생각해야 합니다.어린 나이에 발생할수록 만성화되는 경향성이 있습니다.또한 우울증에 의한 감정들을 바로 행동화함으로써 반항적이고적대적인 행동으로 이어져 큰 문제로 이어질 수 있습니다.무엇보다 소아우울증에 대한 정보부족으로 아이의 우울증을 알아차리지 못해치료시기를 놓치는 경우가 많다는 것이 문제입니다.소아우울증은 가면성 우울증이 흔합니다.반드시 우울한 기분으로만 나타나는 것이 아니고 명확한 우울감 없이도과다행동, 집중력 장애, 갑작스러운 성적저하, 복통이나 두통, 피로감 같은신체증상을 자주 보이거나 비행행동이나 일탈 행동이 많아지는 형태로도나타날 수 있으며 친구나 어른들과의 관계 변화 등으로나타날 수 있다는 점을 꼭 기억해야 합니다.제일 많이 권하는건 햇볕 아래서 무작정 걸어 보라는거에요.바쁘면 우울증이란걸 느낄 틈도 없습니다.이거저거 구경다니고 배고프면 먹고 그러다 보면 자연스레 치료가 됩니다.그래도 좋아지지 않으면 신경정신과 상담을 받아 보세요쉽게 지나 갈 수 있는걸 혼자 고민하다 오래 끌 수 있습니다.자신을 털어 놓고 애기할 상대만 있어도 많은 부분이 해결 됩니다.그 상대에 대한 신뢰가 있어야만 하겠지만. 관련 전문의 의견을 모아서 링크를 해 드렸었는데네이버가 그런건지 누가 신고를 해서 그런건지흥보성 글이라고 답을 삭제해서 추가로 링크를 못해드립니다. 우울증- 소아. 청소년 관련 우울증   우울증- 민간요법  우울증 관련 우울증 극복 관련   신경증 설명   정신질환 관련   정신장애 관련스트레스 설명  스트레스 관련 스트레스 해소 관련 스트레스 해소 음식 관련 스트레스를 푸는 100가지 방법마음의 소리에 귀 기울이세요 건강멘토 39인의 스트레스 해소법 61스트레스 연관 질환 관련을 아래 카페나 인터넷에서 찾아서 읽어 보세요."
139,"그냥 들어만 주세여.   어떤말을 해도 잘 들리지도 않고,  괜히 말 실수라도 하게되면 어색해 질수도 있거든여.친구분도 왜그런지 모른대니그냥 짜증내고 이야기하면 차근차근 잘 들어주시면서 토닥토닥해주세요네 그만큼 질문자님을 의지하고 믿음이 잇으니깐짜증도 내고 하는 거죠또 질문자님이 잘 받아주시니깐 그렇겟죠~앞으로도 두분 그렇게 잘 지내시구요괜찮다고 이해한다.고 하시면서너도 나중에 나 짜증내고 투덜거리면그 때 받아주면되지~ 하면서 달래주세요나는 안받아줄거야?^^ 하면서요..넘 미안해 하지말라고털어서 맘편할거같으면 훌훌 털어버리라고~~~ 말해주세요이럴때도 잇고, 저럴때도 잇고, 좋은 날도 잇고, 나쁜 날도 잇고 하니함께 같이 하세요~^^안녕하세요. 비공개님^^청소년사이버상담센터입니다. 올려주신 글 잘 읽어보았어요^^ 친구가 스트레스가 쌓이게 되면서 많이 힘든가보네요. 그러다보니 남자친구나 가족들에게 짜증을 내거나 화를 내면서 때로는 서로간의 오해가 깊어서 더욱 악순환이 되고 있는 것은 아닌지 걱정이군요ㅠ 어쩌면 지금의 속마음을 비공개님에게 이야기 한다는 것은 좀더 믿고 의지하기때문에 이야기 하는 것이라 생각해요. 최근 많이 힘들었다면 좀더 마음의 여유를 가지는 시간이 필요하기도 할것 같아요. 너무 바쁘게 지내다 보면 내가 모르는 스트레스가 누적되어 점점 더 우울감으로 힘들어질 수 있으니깐요.. 우선은 스트레스를 해소하는 자신만의 방법이 필요하지 않을까 싶어요. 스트레스도 하나의 에너지이기 때문에 에너지를 분출하는 시간이 필요하기도 하지요. 그렇기 때문에 무언가에 즐거움을 얻을 수 있는 활동은 스트레스를 해소하는 가장 좋은 방법이라고도 해요. 맛있는 음식을 먹는다거나 산책, 운동, 영화보기 등 좀더 편안하고 즐거움을 얻을 수 있는 활동을 찾을 수 있도록 함께 도와주는 것은 어떨까요? 그러다보면 스스로 자신만의 스트레스 해소법을 찾기도 하면서 마음의 안정을 되찾는 시간이 분명 되리라 생각하네요. 또한 친구가 자신의 고민을 이야기 할때에 공감을 해주는 것만으로도 친구에게는 큰 위로가 될거예요. 그러니 무언가를 해준다고 생각하기 보다는 옆에서 들어주고, 공감해는 것이 가장 큰 도움이 되시리라 생각되네요^^ 좀 더 고민되는 것이 있어 상담을 받고 싶으실 때에는각 지역에 있는 청소년상담복지센터를 이용하실 수 있어요. 만약 대면상담이 부담이 되면 청소년전화상담1388(지역번호+1388), #1388 문자상담,#1388 카톡플러스 친구맺기를 통해서도 상담을 받을 수 있답니다. ^^또한,  24시간 365일 열려있는청소년사이버상담센터로 방문하여 1:1채팅상담실에서 전문상담 선생님에게 도움을 받을 수 있는만큼 고민이 있다면 언제든지 방문해주세요^^조금이나마 도움이 되었기를 바라며,편안하게 언제든 방문해주세요. ^^청소년사이버상담센터 컴슬러 드림. =================================================이 답변 글은 청소년사이버상담센터 컴슬러가 작성하였습니다. 고민 상담을 더 받고 싶은 경우, 365일 24시간 열려있는 청소년사이버상담센터 ※ PC & 모바일: http://www.cyber1388.kr 로 찾아오세요.================================================= "
140,"저는 14살 여학생입니다요즘 사실 한 1년은 된 제 증상이에요 우울증인걸까요?1 일주일에 5일 이상은 운다2 자해를 일주일에 3번은 한다3 소화가 잘 되지 않는다4 예민하다5 기분이 심하게 오락가락한다6 다른 사람과 있을 때는 괜찮은 척한다7 자사ㄹ 생각이 시도때도 없이 든다8 머리가 거의 매일 아프다9 혼자 있는 것을 좋아한다10 가끔 갑자기 확 폭식한다11 의욕이 없다12 삶의 이유를 모르겠다13 누군가와 이야기 하는것이 싫다청소년도 우울증이 생깁니다.소아우울증은 성인기에서의 재발률이 매우 높고,발달과정 중의 일시적 현상이 아닌 만성적인 질환으로 생각해야 합니다.어린 나이에 발생할수록 만성화되는 경향성이 있습니다.또한 우울증에 의한 감정들을 바로 행동화함으로써 반항적이고적대적인 행동으로 이어져 큰 문제로 이어질 수 있습니다.무엇보다 소아우울증에 대한 정보부족으로 아이의 우울증을 알아차리지 못해치료시기를 놓치는 경우가 많다는 것이 문제입니다.소아우울증은 가면성 우울증이 흔합니다.반드시 우울한 기분으로만 나타나는 것이 아니고 명확한 우울감 없이도과다행동, 집중력 장애, 갑작스러운 성적저하, 복통이나 두통, 피로감 같은신체증상을 자주 보이거나 비행행동이나 일탈 행동이 많아지는 형태로도나타날 수 있으며 친구나 어른들과의 관계 변화 등으로나타날 수 있다는 점을 꼭 기억해야 합니다.제일 많이 권하는건 햇볕 아래서 무작정 걸어 보라는거에요.바쁘면 우울증이란걸 느낄 틈도 없습니다.이거저거 구경다니고 배고프면 먹고 그러다 보면 자연스레 치료가 됩니다.그래도 좋아지지 않으면 신경정신과 상담을 받아 보세요쉽게 지나 갈 수 있는걸 혼자 고민하다 오래 끌 수 있습니다.자신을 털어 놓고 애기할 상대만 있어도 많은 부분이 해결 됩니다.그 상대에 대한 신뢰가 있어야만 하겠지만. 관련 전문의 의견을 모아서 링크를 해 드렸었는데네이버가 그런건지 누가 신고를 해서 그런건지흥보성 글이라고 답을 삭제해서 추가로 링크를 못해드립니다. 우울증- 소아. 청소년 관련 우울증   우울증- 민간요법  우울증 관련 우울증 극복 관련   신경증 설명   정신질환 관련   정신장애 관련스트레스 설명  스트레스 관련 스트레스 해소 관련 스트레스 해소 음식 관련 스트레스를 푸는 100가지 방법마음의 소리에 귀 기울이세요 건강멘토 39인의 스트레스 해소법 61스트레스 연관 질환 관련을 아래 카페나 인터넷에서 찾아서 읽어 보세요."
141,"저는 중2여학생이고 이제 곧 중3을 올라가는데 요새 친구문제나 공부때문에 힘들기도하고 아무 이유도없이 불안할때가 좀 많고 소심하고 눈치좀보고 하는 성격때문에 자살도하고싶고 너무 힘들어서 정신과에 가볼려고하는데 부모님한테 말하기가 좀 그래서 학생 혼자 정신과에 가볼생각인데 질문 몇가지할께요청소년도 우울증이 생깁니다.소아우울증은 성인기에서의 재발률이 매우 높고,발달과정 중의 일시적 현상이 아닌 만성적인 질환으로 생각해야 합니다.어린 나이에 발생할수록 만성화되는 경향성이 있습니다.또한 우울증에 의한 감정들을 바로 행동화함으로써 반항적이고적대적인 행동으로 이어져 큰 문제로 이어질 수 있습니다.무엇보다 소아우울증에 대한 정보부족으로 아이의 우울증을 알아차리지 못해치료시기를 놓치는 경우가 많다는 것이 문제입니다.소아우울증은 가면성 우울증이 흔합니다.반드시 우울한 기분으로만 나타나는 것이 아니고 명확한 우울감 없이도과다행동, 집중력 장애, 갑작스러운 성적저하, 복통이나 두통, 피로감 같은신체증상을 자주 보이거나 비행행동이나 일탈 행동이 많아지는 형태로도나타날 수 있으며 친구나 어른들과의 관계 변화 등으로나타날 수 있다는 점을 꼭 기억해야 합니다.1 정신과는 동네에 가볼껀데 주로 무슨것을 하나요??먼저 상담을 하겠지요.2 진료비 가격은 어는정도될까요??신경정신과는 시간당 비용을 계산하는데 보통 한시간에 5만원 정도 합니다.3 약을 주면 약에 의존하게 되지않나요??처음부터 약을 처방하거나 하지는 않을거 같네요.4 스스로는 바꿀수잇는 노력에 무엇이 있나요??제일 많이 권하는건 햇볕 아래서 무작정 걸어 보라는거에요.바쁘면 우울증이란걸 느낄 틈도 없습니다.이거저거 구경다니고 배고프면 먹고 그러다 보면 자연스레 치료가 됩니다.그래도 좋아지지 않으면 신경정신과 상담을 받아 보세요쉽게 지나 갈 수 있는걸 혼자 고민하다 오래 끌 수 있습니다.자신을 털어 놓고 애기할 상대만 있어도 많은 부분이 해결 됩니다.그 상대에 대한 신뢰가 있어야만 하겠지만. 관련 전문의 의견을 모아서 링크를 해 드렸었는데네이버가 그런건지 누가 신고를 해서 그런건지흥보성 글이라고 답을 삭제해서 추가로 링크를 못해드립니다. 우울증- 소아. 청소년 관련 우울증   우울증- 민간요법  우울증 관련 우울증 극복 관련   신경증 설명   정신질환 관련   정신장애 관련스트레스 설명  스트레스 관련 스트레스 해소 관련 스트레스 해소 음식 관련 스트레스를 푸는 100가지 방법마음의 소리에 귀 기울이세요 건강멘토 39인의 스트레스 해소법 61스트레스 연관 질환 관련을 아래 카페나 인터넷에서 찾아서 읽어 보세요.한의원에 가세요.침으로 정신과 치료합니다.만원입니다.우울증 걸린 사람들은 만나지 않고 혼자 있는 게 특징인데요.어떤 상황이든 부정적인 생각을 먼저 하기 나를이죠.우울증으로 인해 극단적인 생각을 하는 사람들도 많구요.우울증은 혼자 이겨내기 어렵답니다.주변의 도움이나 전문가의 도움이 필요한거 같아요상담이나 코칭을 받고  정신과 치료를 받아도 문제가 해결되지않거나 재발하는 경우는 발생한 문제보다 높은 수준의 기법이아니기 때문입니다사실 사람들마다 가지고 있는 고민과 이유는 각기 다른데 같은 방법으로해결하려면 모두 다 해결되지 않듯이 각 개인에 맞는치료법으로 다가서야해결될 수 있습니다흔히들 우울증하면 정신과에서 항우울제를 복용하면 증상이 호전되고 낫는다고합니다.  운동을 하면 당연히 몸에 활력이 생기지요.하지만 우울한 생각 자체가 변하지 않으면 똑같이 힘들뿐이에요문제를 근본적으로 해결하셔야 되는데요힘들 때 전문가의 도움을 받아보세요제 답변에 조금이나마 도움이 되셨다면 질문자님과 같은 상황에 계신분들에게 도움드릴수 있게 채택부탁드리며, 더 자세한 상담 원하시면아래 네임카드(pc로 보실경우)  참조하시어 무료 상담해 드리고 있으니신청하시면 담당자분께서 몇일내로 연락드릴겁니다  상담 받아보시구요 중3 올라가실 시기는 대부분 가장 예민하고 스트레스가 많을때라고 생각이 됩니다. 하지만 극단적인 생각까지 드실 정도라면상담이 필요할거 같구요. ㅠㅠ병원상담과 약물치료등의 방법도 있지만약물치료는 장기화돼면 부작용이 우려돼는점이 있고일시적으로 치료된거 같아도 재발하는 경우가 많다고 해요.증세가 호전되었다고 해도 결코 방심해서는 안돼고그래서 근본원인을 파악하고 뿌리까지 뽑아내야완전 치유가 돼는거죠.병원 치료보다 상담과 여러활동들을 통한 (4.본인 스스로 바꿀수 잇는 노력과 연관돼는거 같아요.)  극복의지를 주는 전문 시스템을 갖춘 센터의 도움을받아보시는건 어떨까요?...아래 네임카드 주소 클릭하시면 무료상담신청도 가능하시답니다.빨리 긍정적인 생각과 행복한 마음 가득하시기를 바래봅니다."
142,"청소년도 우울증이 생깁니다.소아우울증은 성인기에서의 재발률이 매우 높고,발달과정 중의 일시적 현상이 아닌 만성적인 질환으로 생각해야 합니다.어린 나이에 발생할수록 만성화되는 경향성이 있습니다.또한 우울증에 의한 감정들을 바로 행동화함으로써 반항적이고적대적인 행동으로 이어져 큰 문제로 이어질 수 있습니다.무엇보다 소아우울증에 대한 정보부족으로 아이의 우울증을 알아차리지 못해치료시기를 놓치는 경우가 많다는 것이 문제입니다.소아우울증은 가면성 우울증이 흔합니다.반드시 우울한 기분으로만 나타나는 것이 아니고 명확한 우울감 없이도과다행동, 집중력 장애, 갑작스러운 성적저하, 복통이나 두통, 피로감 같은신체증상을 자주 보이거나 비행행동이나 일탈 행동이 많아지는 형태로도나타날 수 있으며 친구나 어른들과의 관계 변화 등으로나타날 수 있다는 점을 꼭 기억해야 합니다.제일 많이 권하는건 햇볕 아래서 무작정 걸어 보라는거에요.바쁘면 우울증이란걸 느낄 틈도 없습니다.이거저거 구경다니고 배고프면 먹고 그러다 보면 자연스레 치료가 됩니다.그래도 좋아지지 않으면 신경정신과 상담을 받아 보세요쉽게 지나 갈 수 있는걸 혼자 고민하다 오래 끌 수 있습니다.자신을 털어 놓고 애기할 상대만 있어도 많은 부분이 해결 됩니다.그 상대에 대한 신뢰가 있어야만 하겠지만. 관련 전문의 의견을 모아서 링크를 해 드렸었는데네이버가 그런건지 누가 신고를 해서 그런건지흥보성 글이라고 답을 삭제해서 추가로 링크를 못해드립니다. 우울증- 소아. 청소년 관련 우울증   우울증- 민간요법  우울증 관련 우울증 극복 관련   신경증 설명   정신질환 관련   정신장애 관련[출처] 정서 이야기 폴더는 (Story for you & me) |작성자 한사랑 스트레스 설명  스트레스 관련 스트레스 해소 관련 스트레스 해소 음식 관련 스트레스를 푸는 100가지 방법마음의 소리에 귀 기울이세요 건강멘토 39인의 스트레스 해소법 61스트레스 연관 질환 관련을 아래 카페나 인터넷에서 찾아서 읽어 보세요.학창시절엔 감정의 기복이 심할때가 있답니다.그래서 질풍노도의 시기라고도 하잖아요..!너무 걱정 마시고 조용한 음악을 들으면서 마음을 진정시켜보셔요..!땨론 그럴 수도 있지 머...라고 여기시구...떨어지는 낙엽만 봐도 눈물이 나는때가 학창시절입니다.   　　　　　   질문자 님을 만나 뵙게 되어 감사드리며질문자님께서 문의하신 부분에 대한 답변은----------------------------------------------------------------혼자서 모든걸 맘안에 담아두고 버텨내시느라많이 힘들고 지쳤던 거에요. 혼자서 슬펐던 맘을 달래며그 시간 동안 스트레스와 불안을 담아두고맘에 쌓아두며 지속적인 부담이 되고 자신에게 아픔으로 쌓여가면서질문자님께서 [ 우울증이 ] 생기신거 같아요.너무 힘들고 지치다고 불안하기보다 마음에 안정을 취하시고 이야기 해보세요.과거의 슬프고 힘들었던 기억이 쌓이고 쌓여 버텨오면서 이제서야자신에게 안좋은 기억들 슬픈 생각이나 상처들이 자신을 짓 누르게되고 불안한 생각들이 자신을 휘감아 버리면서 현재 불안한 상태가 되어가는거죠.이제는 너무 자신을 억압하지 마세요. 앞으로 당신은 달라질 수 있는 존재니까요.그 동안의 슬픔을 하나 하나 마음 안에 담아두면서 그것들이 맘에 부담이 된거 같아요.[ 눈물 만큼 맘에 담긴 상처도 큰것 아닐까요. ]누구나 힘들고 지치기 떄문에 사람이자나요. 모든 걸 본인이 다 감당하실 의무는 없어요.지금 당장은 아무도 들어주고 이야기할 사람이 없다는 생각에 담아두고 담아두다 보면자신의 맘에 갈수록 여러 걱정과 불안함이 쌓이고 쌓이면서 자신도 모르게자신에게 상처를 주고 있을 수도 있었던거니까요.마음은 상처에 약하고 누적 되었던 불안은 현재의 자신을 갈수록 동요하게 하니까요.당신은 상처 받을 아픈 한 사람이 아니라 소중함 그 자체로 존재할 사람이니까요.마음이 아픈 건 당신의 잘못이 아니라 살아가는 과정 중 경험의 결과니까요.그 모든 일들로 인해 자신에게 상처 주는건 잠깐 멈추세요.만약 정말 힘들고 지칠떄가 있다면너무 혼자 힘드러 하지 마시고 상담을 한번 해보세요.--------------------------------------------------------많이 힘들었을 질문자님. 언제든 아래 버튼↙을 통해 고민을 이야기 해주세요.▶고민&심리상담하기N----------------------------------------------질문자님께서 마음 아프고 슬퍼했을 시간들이이제는 행복한 시간이 되어 살아갈 수 있으면 합니다."
143,"청소년도 우울증이 생깁니다.소아우울증은 성인기에서의 재발률이 매우 높고,발달과정 중의 일시적 현상이 아닌 만성적인 질환으로 생각해야 합니다.어린 나이에 발생할수록 만성화되는 경향성이 있습니다.또한 우울증에 의한 감정들을 바로 행동화함으로써 반항적이고적대적인 행동으로 이어져 큰 문제로 이어질 수 있습니다.무엇보다 소아우울증에 대한 정보부족으로 아이의 우울증을 알아차리지 못해치료시기를 놓치는 경우가 많다는 것이 문제입니다.소아우울증은 가면성 우울증이 흔합니다.반드시 우울한 기분으로만 나타나는 것이 아니고 명확한 우울감 없이도과다행동, 집중력 장애, 갑작스러운 성적저하, 복통이나 두통, 피로감 같은신체증상을 자주 보이거나 비행행동이나 일탈 행동이 많아지는 형태로도나타날 수 있으며 친구나 어른들과의 관계 변화 등으로나타날 수 있다는 점을 꼭 기억해야 합니다.제일 많이 권하는건 햇볕 아래서 무작정 걸어 보라는거에요.바쁘면 우울증이란걸 느낄 틈도 없습니다.이거저거 구경다니고 배고프면 먹고 그러다 보면 자연스레 치료가 됩니다.그래도 좋아지지 않으면 신경정신과 상담을 받아 보세요쉽게 지나 갈 수 있는걸 혼자 고민하다 오래 끌 수 있습니다.자신을 털어 놓고 애기할 상대만 있어도 많은 부분이 해결 됩니다.그 상대에 대한 신뢰가 있어야만 하겠지만. 관련 전문의 의견을 모아서 링크를 해 드렸었는데네이버가 그런건지 누가 신고를 해서 그런건지흥보성 글이라고 답을 삭제해서 추가로 링크를 못해드립니다. 우울증- 소아. 청소년 관련 우울증   우울증- 민간요법  우울증 관련 우울증 극복 관련   신경증 설명   정신질환 관련   정신장애 관련[출처] 정서 이야기 폴더는 (Story for you & me) |작성자 한사랑 스트레스 설명  스트레스 관련 스트레스 해소 관련 스트레스 해소 음식 관련 스트레스를 푸는 100가지 방법마음의 소리에 귀 기울이세요 건강멘토 39인의 스트레스 해소법 61스트레스 연관 질환 관련을 아래 카페나 인터넷에서 찾아서 읽어 보세요."
